#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
54,"лучший хирург по ринопластике",1,0.49,1,0.84,1,0,"2018-08-13 18:59:05","2019-01-07 00:16:13"
55,"отопластика цены",1,0.49,1,0.84,1,0,"2014-09-06 13:03:00","2019-02-06 23:23:53"
56,перейти,1,0.49,1,0.84,5,0.02,"2019-03-01 08:23:23","2020-04-05 09:55:30"
57,"перейти на сайт липосакция, ринопластика для всех в москве по самым недорогим ценам",1,0.49,1,0.84,1,0,"2018-09-21 03:32:56","2018-09-21 03:32:56"
58,"пластическая операция груди",1,0.49,1,0.84,2,0.01,"2020-06-06 08:51:38","2020-06-06 10:06:47"
59,"пластическая хирургия информация о заказе",1,0.49,1,0.84,2,0.01,"2019-09-15 11:59:14","2019-10-28 08:22:54"
60,"пластическое увеличение груди",1,0.49,1,0.84,4,0.02,"2018-07-21 18:48:05","2020-06-11 10:08:41"
61,"пластическое увеличение груди поиск фото",1,0.49,1,0.84,2,0.01,"2019-10-20 03:06:38","2019-10-20 18:15:08"
62,"подписаться на раздел «абдоминопластика со скидкой в москве» и перейти",1,0.49,1,0.84,7,0.03,"2019-01-22 00:23:07","2020-05-14 22:32:32"
63,"подтяжке лица)",1,0.49,1,0.84,2,0.01,"2019-02-07 19:52:34","2020-05-30 16:27:45"
64,"последствия фраксель стоимость читать про рубцы",1,0.49,1,0.84,1,0,"2019-11-21 04:09:21","2019-11-21 04:09:21"
65,"ринопластика абсолютно безопасная операция",1,0.49,1,0.84,1,0,"2020-03-28 05:06:15","2020-03-28 05:06:15"
66,"ринопластика фото до и после",1,0.49,1,0.84,3,0.01,"2016-02-07 07:08:58","2019-04-14 04:05:54"
67,ринопластики,1,0.49,1,0.84,4,0.02,"2018-07-20 08:10:42","2020-02-19 01:46:20"
68,"скриншот сайта",1,0.49,1,0.84,1,0,"2020-06-08 00:20:55","2020-06-08 00:20:55"
69,"ссылка на страницу",1,0.49,1,0.84,7,0.03,"2020-02-20 19:53:29","2020-06-16 07:18:05"
70,теория,1,0.49,1,0.84,1,0,"2019-12-17 01:50:40","2019-12-17 01:50:40"
71,"увеличение груди без швов",1,0.49,1,0.84,1,0,"2018-10-05 21:19:49","2019-02-02 17:54:28"
72,"увеличит ягодицы",1,0.49,1,0.84,1,0,"2018-10-03 02:25:39","2020-01-15 02:35:21"
73,"узнать о клинике",1,0.49,1,0.84,2,0.01,"2020-01-21 06:40:31","2020-02-05 04:02:27"
74,фотоомоложение,1,0.49,1,0.84,1,0,"2014-09-10 00:56:59","2014-09-10 00:56:59"
75,"фраксель в клинике «вестмед»",1,0.49,1,0.84,4,0.02,"2018-08-11 00:16:44","2020-04-29 14:12:17"
76,фракселю,1,0.49,1,0.84,1,0,"2019-09-18 06:23:26","2020-03-03 16:15:32"
77,фракселя,1,0.49,1,0.84,2,0.01,"2019-02-07 19:52:34","2020-05-30 16:27:45"
78,"читать интервью с ганьшином и.б.",1,0.49,1,0.84,2,0.01,"2015-12-23 15:51:29","2015-12-23 15:51:29"
79,"электронное липомоделирование",1,0.49,1,0.84,1,0,"2018-09-05 17:28:11","2018-09-05 17:28:11"
80,"эндоскопическая подтяжка лица стоимость",1,0.49,1,0.84,2,0.01,"2015-09-10 17:41:07","2019-04-07 00:53:39"
