#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
57,"абдоминопластика москва",1,0.61,1,0.76,1,0.10,"2020-06-07 16:17:52","2020-06-07 16:17:52"
58,"блохин с.н. - сайт пластического хирурга",1,0.61,1,0.76,1,0.10,"2020-05-17 12:34:52","2020-05-17 12:34:52"
59,брахиопластика,1,0.61,1,0.76,1,0.10,"2013-09-14 03:44:03","2020-04-04 21:37:20"
60,"все фотографии",1,0.61,1,0.76,4,0.41,"2017-04-18 07:53:38","2020-03-22 18:41:43"
61,"второй подбородок",1,0.61,1,0.76,1,0.10,"2016-03-03 02:26:25","2020-04-06 11:21:51"
62,глютеопластика,1,0.61,1,0.76,1,0.10,"2018-12-22 01:18:03","2020-03-11 21:10:05"
63,"грудные импланты",1,0.61,1,0.76,1,0.10,"2020-01-14 07:59:47","2020-06-11 12:55:31"
64,"дизайн сайта клиники",1,0.61,1,0.76,13,1,"2016-07-13 22:46:38","2020-06-12 20:29:33"
65,"изменение формы голени",1,0.61,1,0.76,2,0.20,"2020-03-25 05:53:04","2020-05-03 05:08:56"
66,имплант,1,0.61,1,0.76,4,0.41,"2017-04-18 07:53:38","2020-06-13 05:33:41"
67,"исправление кривизны ног",1,0.61,1,0.76,1,0.10,"2016-12-02 04:16:07","2020-04-22 08:53:08"
68,"исправление кривых ног",1,0.61,1,0.76,2,0.20,"2019-01-05 06:20:27","2020-04-11 09:00:08"
69,"коррекции асимметрии молочных желез",1,0.61,1,0.76,4,0.41,"2017-04-18 07:53:38","2020-03-10 11:22:57"
70,"круговая подтяжка",1,0.61,1,0.76,1,0.10,"2016-05-04 21:01:01","2020-03-25 20:06:14"
71,круропластика,1,0.61,1,0.76,2,0.20,"2019-01-05 06:20:27","2020-04-11 09:00:08"
72,"липосакция бедер",1,0.61,1,0.76,1,0.10,"2018-05-30 02:17:30","2020-03-05 09:11:38"
73,"липофилинг груди",1,0.61,1,0.76,1,0.10,"2020-05-31 06:42:58","2020-05-31 06:42:58"
74,"лучший хирург по пластике блохин",1,0.61,1,0.76,4,0.41,"2018-12-23 11:01:47","2020-05-30 03:50:34"
75,"маленькие икры",1,0.61,1,0.76,1,0.10,"2016-12-02 04:16:07","2020-04-22 08:53:08"
76,"маммопластика рейтинг статья и маммопластика контакты москва",1,0.61,1,0.76,1,0.10,"2019-10-12 05:52:50","2020-01-31 12:47:56"
77,"нависание века",1,0.61,1,0.76,1,0.10,"2019-11-06 22:10:12","2020-04-13 08:27:58"
78,"один из лучших пластических хирургов",1,0.61,1,0.76,1,0.10,"2014-04-06 04:26:01","2020-03-09 02:54:38"
79,"операция по пластике груди",1,0.61,1,0.76,1,0.10,"2020-01-14 07:59:47","2020-03-22 18:07:53"
80,открыть,1,0.61,1,0.76,7,0.71,"2020-03-18 16:44:28","2020-05-30 02:30:43"
81,отопластика,1,0.61,1,0.76,1,0.10,"2013-08-11 02:17:59","2020-03-06 23:13:45"
82,"перейти на сайт операции по увеличению груди, пластическая хирургия, уменьшение груди",1,0.61,1,0.76,1,0.10,"2015-12-19 17:28:00","2020-04-21 18:33:16"
83,"пластика груди",1,0.61,1,0.76,1,0.10,"2018-09-07 12:40:49","2018-09-07 12:40:49"
84,"пластика груди цены",1,0.61,1,0.76,1,0.10,"2020-02-02 08:38:28","2020-03-22 17:36:23"
85,"пластика груди. москва",1,0.61,1,0.76,1,0.10,"2018-07-08 19:22:41","2020-02-16 22:47:22"
86,"пластика половых губ",1,0.61,1,0.76,1,0.10,"2019-02-19 17:10:26","2020-04-11 08:39:46"
87,"пластика тубулярной груди",1,0.61,1,0.76,2,0.20,"2019-06-12 02:24:33","2019-06-13 00:21:08"
88,"пластике сосков",1,0.61,1,0.76,1,0.10,"2020-05-10 12:38:11","2020-05-10 12:38:11"
89,"пластическая хирургия",1,0.61,1,0.76,1,0.10,"2013-09-08 09:26:20","2020-06-11 05:57:12"
90,"пластическая хирургия, увеличение груди",1,0.61,1,0.76,1,0.10,"2017-03-14 05:24:28","2020-06-06 07:09:11"
91,"пластический хирург г.москва",1,0.61,1,0.76,1,0.10,"2020-06-06 20:44:18","2020-06-06 20:44:18"
92,платизмопластика,1,0.61,1,0.76,1,0.10,"2016-03-03 02:26:25","2020-03-13 12:29:38"
93,"плоские ягодицы",1,0.61,1,0.76,1,0.10,"2018-04-21 16:00:02","2020-01-17 19:06:51"
94,подтяжка,1,0.61,1,0.76,2,0.20,"2014-06-27 16:37:38","2020-04-23 18:21:15"
95,"подтяжка лица",1,0.61,1,0.76,1,0.10,"2019-04-20 13:52:22","2020-04-24 18:21:01"
96,"подтяжка шеи",1,0.61,1,0.76,1,0.10,"2018-12-15 15:03:56","2020-04-30 04:59:48"
97,"подтяжку с увеличением",1,0.61,1,0.76,2,0.20,"2020-06-11 15:05:23","2020-06-12 00:24:40"
98,"протезирование (эндопротезирование) груди",1,0.61,1,0.76,1,0.10,"2014-04-03 22:16:45","2020-03-08 11:09:37"
99,"профессор блохин",2,1,1,0.76,3,0.31,"2017-05-12 20:04:26","2020-03-21 18:05:17"
100,"профессора сергея николаевича блохина",1,0.61,1,0.76,2,0.20,"2016-02-25 01:31:05","2020-06-11 15:44:43"
101,"реконструктивной пластике",1,0.61,1,0.76,4,0.41,"2017-04-18 07:53:38","2020-03-10 11:22:57"
102,"реконструкции груди",1,0.61,1,0.76,2,0.20,"2020-05-22 01:54:18","2020-05-22 12:17:26"
103,сайте,1,0.61,1,0.76,1,0.10,"2015-08-18 08:08:41","2020-02-22 23:58:02"
104,смотреть,1,0.61,1,0.76,2,0.20,"2016-04-04 13:47:04","2020-04-03 17:29:52"
105,"ссылка на страницу",1,0.61,1,0.76,2,0.20,"2020-03-20 19:12:38","2020-06-12 18:04:10"
