#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
89,"пластика тела",2,2,1,2,2,0.02,"2016-06-08 08:45:48","2019-12-29 07:58:18"
90,"пластика ягодиц (глютеопластика)",1,1,1,2,2,0.02,"2018-04-28 12:33:04","2019-10-06 22:12:16"
91,"пластики ягодиц",1,1,1,2,8,0.08,"2018-05-18 22:44:19","2020-01-30 01:16:33"
92,"пластическая операция на уши",1,1,1,2,1,0.01,"2019-01-04 02:27:18","2019-12-23 23:08:20"
93,"пластические операции",1,1,1,2,1,0.01,"2019-05-09 19:28:32","2020-02-15 20:23:12"
94,"пластический хирург пахилин д. в.",1,1,1,2,1,0.01,"2020-05-14 06:42:15","2020-05-14 06:42:15"
95,"пластического хирурга",1,1,1,2,2,0.02,"2019-11-05 12:09:29","2020-06-11 15:11:25"
96,"пластической хирургии",1,1,1,2,0,0,"2019-03-01 07:55:45","2019-03-26 19:41:48"
97,подробности,1,1,1,2,1,0.01,"2017-03-22 08:02:41","2020-02-20 06:40:29"
98,"подтяжка бедер",1,1,1,2,2,0.02,"2018-04-28 12:33:04","2019-09-08 19:32:07"
99,"подтяжка бедер (феморопластика)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2020-01-10 20:25:53"
100,"подтяжка лица",1,1,1,2,1,0.01,"2018-04-28 12:33:04","2019-12-04 20:53:03"
101,"подтяжка лица (фейс-лифтинг)",1,1,1,2,1,0.01,"2019-12-04 20:53:03","2019-12-04 20:53:03"
102,"подтяжка лица (фейслифтинг)",2,2,1,2,2,0.02,"2017-04-10 09:58:04","2019-12-17 04:24:24"
103,"подтяжка мягких тканей плеч и рук (брахиопластика)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
104,"подтяжки лица",1,1,1,2,6,0.06,"2018-05-23 18:29:45","2020-01-04 08:46:43"
105,"посмотреть отзывы/оставить отзыв",1,1,1,2,1,0.01,"2018-04-21 19:11:32","2020-03-11 13:30:25"
106,предоперационная,1,1,1,2,1,0.01,"2020-05-03 15:21:37","2020-05-03 15:21:37"
107,"пройдя по ссылке",1,1,1,2,1,0.01,"2017-05-26 21:20:31","2019-12-07 18:05:23"
108,"реконструктивные операции",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
109,"реэндопротезирование молочных желез",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
110,ринопластика,2,2,1,2,2,0.02,"2017-02-21 14:18:57","2019-09-07 06:23:09"
111,"ринопластика (пластика носа)",1,1,1,2,1,0.01,"2019-12-04 20:53:03","2019-12-04 20:53:03"
112,"ринопластика с вазотомией",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-08-24 11:58:13"
113,"ринопластика с гайморотомией",1,1,1,2,2,0.02,"2019-03-22 04:54:43","2019-08-24 11:58:13"
114,"сенчихина оксана алексеевна",1,1,1,2,1,0.01,"2020-04-08 15:44:52","2020-04-08 15:44:52"
115,"сизов сергей владимирович пластический хирург",1,1,1,2,1,0.01,"2020-02-06 22:58:03","2020-02-06 22:58:03"
116,"сизов сергей владимирович пластический хирург (м.войковская)",1,1,1,2,1,0.01,"2019-12-06 21:33:45","2019-12-06 21:33:45"
117,"сизов сергей владимирович сизов сергей владимирович",1,1,1,2,6,0.06,"2019-10-02 20:31:50","2020-06-11 03:35:07"
118,"см-клиника | промо-сайты акций ""пластическая хирургия"" для женщин",1,1,1,2,2,0.02,"2017-10-28 20:54:01","2020-03-05 05:27:43"
119,"см-клиника | текстовое наполнение сайта направления пластической хирургии многопрофильной клиники",1,1,1,2,2,0.02,"2017-10-21 11:43:47","2020-03-05 08:23:17"
120,см-пластика,1,1,1,2,1,0.01,"2017-09-27 14:13:40","2020-03-21 10:02:29"
121,"создание хороших сайтов",1,1,1,2,1,0.01,"2017-06-12 18:45:30","2017-06-12 18:45:30"
122,"специалист центра пластической хирургии «см-косметология» анастасия сергеевна борисенко",1,1,1,2,1,0.01,"2017-03-18 01:57:25","2020-02-14 11:48:06"
123,"ссылка на страницу",1,1,1,2,1,0.01,"2020-02-21 20:32:40","2020-02-21 20:32:40"
124,"стражников руслан андреевич",1,1,1,2,1,0.01,"2019-10-29 18:56:48","2019-10-29 18:56:48"
125,"стражников руслан андреевич пластический хирург высшей категории",1,1,1,2,2,0.02,"2019-12-06 21:33:45","2020-02-06 22:58:03"
126,"торсопластика (бодилифтинг)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-23 18:10:08"
127,"увеличение голеней (круропластика)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
128,"увеличение груди",1,1,1,2,1,0.01,"2018-04-24 07:44:35","2019-07-21 07:05:49"
129,"увеличение груди (аугментационная маммопластика)",1,1,1,2,1,0.01,"2019-03-22 04:54:43","2019-12-17 04:24:24"
