#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
18,12,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,http://sm-plastica.ru/experts/khristenko-anna-ivanovna/,,"Христенко Анна Ивановна",,Dofollow,,"2020-03-12 05:18:25","2020-06-15 15:05:47",,ru,277,214,,14
19,8,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://www.sm-plastica.ru/experts/malyaev-aleksey-aleksandrovich/,,"Маляев Алексей Александрович",,Dofollow,,"2019-07-07 10:35:40","2020-06-15 15:05:47",,ru,277,214,,14
20,4,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://www.sm-plastica.ru/services/liiposaktsiya/liposaktsiya-zhivota/,,Липосакция,,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
21,3,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-tela/lipofiling/,,Липофилинг,,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
22,3,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-tela/plastika-zhivota-abdominoplastika/,,"Пластика живота (абдоминопластика)",,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
23,3,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-tela/podtyazhka-beder-femoroplastika/,,"Подтяжка бедер",,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
24,3,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-tela/uvelichenie-yagodits-glyuteoplastika/,,"Пластика ягодиц (глютеопластика)",,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
25,3,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-ushey-otoplastika/,,"Пластика ушей (отопластика)",,Dofollow,,"2019-08-31 20:10:55","2020-06-15 15:05:47",,ru,277,214,,14
26,3,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-vek-blefaroplastika/,,"Пластика век (блефаропластика)",,Dofollow,,"2019-07-30 11:32:05","2020-06-15 15:05:47",,ru,277,214,,14
27,2,56,18,13,https://www.smclinic.ru/doctors/plasticheskiy-khirurg.html,"Пластический хирург - цена, запись на прием и консультацию врача пластического хирурга в «СМ-Клиника»",83,62,https://sm-plastica.ru/services/plastika-grudi/,,"Восстанавливающая маммопластика (восстановление поврежденной или удаленной молочной железы)",,Dofollow,,"2019-08-19 21:47:07","2020-06-15 15:05:47",,ru,277,214,,14
