#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
155,2,9,8,1,http://plastic-review.com/publications/date/2013-07-19,"Сергей Блохин и Frau Klinik выбирают Eurosilicone",67,13,http://www.frauklinik.ru/,"ведущие медицинские центры России, среди которых — клиника пластической хирургии",Frauklinik,", где ежегодно проводится свыше тысячи операций. Выбор специалистов этой","Dofollow, Content",,"2020-06-04 10:07:59","2020-06-12 01:24:31",,ru,0,0,,7
156,8,39,8,0,http://www.spravinfo.ru/495-0216471.html,"Тел +7 (495) 021-64-71, 4950216471 - телефон Фрау клиник, Москва и область, номера 021-64-71, 84950216471",17,4,http://www.frauklinik.ru/,,frauklinik.ru,,Nofollow,,"2020-06-10 00:16:44","2020-06-10 00:16:44",,ru,0,0,,1
157,2,39,8,0,http://www.spravinfo.ru/495-1200610.html,"Тел +7 (495) 120-06-10, 4951200610 - телефон Фрау клиник, Москва и область, номера 120-06-10, 84951200610",18,4,http://www.frauklinik.ru/,,www.frauklinik.ru,,Nofollow,,"2018-03-15 01:54:03","2020-06-09 23:52:21",,ru,0,0,,1
158,1,25,8,2,https://labuda.blog/693110,"Маммопластика. Увеличение груди или коррекция бюста",72,6,https://www.frauklinik.ru/,Наша,"клиника пластической хирургии","использует только современные методики, среди которых множество авторских, разработанных профессором","Dofollow, Content",,"2020-03-26 19:34:56","2020-06-06 01:04:46",,ru,0,0,,4
159,5,16,8,0,http://new.romasky.ru/lazjer-v-borbje-s-vozrastnymi-izmjenjenijami-kozhi,"Лазер в борьбе с возрастными изменениями кожи | Ромашки-Клуб - портал полезной информации Екатеринбург, новости, советы",25,5,http://www.frauklinik.ru/,"менее подобная процедура не может обеспечить долговременный эффект, который обещает","пластическая хирургия",". Поэтому, если речь идет о серьезных повреждениях кожного покрова","Dofollow, Content",,"2019-04-05 22:17:45","2020-04-24 22:56:34",,ru,0,0,,3
160,2,34,8,0,https://bigspravka.ru/moskva/stomatologii/page103/,"Стоматологии в Москве - страница 103 - Bigspravka",136,33,http://www.frauklinik.ru/,,www.frauklinik.ru,,Nofollow,,"2020-02-27 10:12:51","2020-06-11 08:39:23",,,0,0,,20
161,1,31,8,0,http://vseoplastike.ru/istorii-pacientov/detail/351432,"Пресс-секретарь тюрьмы в «Перезагрузке» на ТНТ",150,34,http://www.frauklinik.ru/,"Записаться на консультацию и узнать более подробную информацию Вы можете в клинике пластической хирургии","Frau Klinik — Фрау Клиник",.,"Dofollow, Content",,"2019-02-09 18:48:32","2020-03-29 13:06:12",,ru,0,0,,27
162,1,31,8,0,http://vseoplastike.ru/articles/detail/87575,"Какие пластические операции проводят летом?",131,32,http://www.frauklinik.ru/,"Подробную информацию можно получить на сайте","клиники пластической хирургии Frau Klinik","у онлайн-консультанта.","Dofollow, Content",,"2019-01-06 17:12:18","2020-04-03 15:04:31",,ru,0,0,,27
163,2,31,8,0,http://vseoplastike.ru/novosti/detail/321744,"«Фрау Клиник» — лучшая клиника Москвы",132,32,http://www.frauklinik.ru/,"Центр пластической хирургии и косметологии профессора Блохина «","Фрау Клиник","» занял первое место в номинации «Информационная открытость и контактность» с рейтингом","Dofollow, Content",,"2019-02-09 22:33:31","2020-03-29 10:52:32",,ru,0,0,,27
164,2,31,8,0,http://vseoplastike.ru/novosti/detail/88877,"Беспроцентный кредит на пластические операции от «Фрауклиник»!",138,32,http://www.frauklinik.ru/,Сайт:,www.frauklinik.ru,,"Dofollow, Content",,"2019-01-07 16:26:50","2020-04-10 21:20:46",,ru,0,0,,27
