"Page rating (desc)",URL,"HTTP status code","Content type","No. of IMG inlinks"
22,https://www.frauklinik.ru/photogallery/plast-hir/abramyan/oto/37-posle.png,404,"text/html; charset=utf-8",1
22,https://www.frauklinik.ru/photogallery/plast-hir/abramyan/oto/37-do.png,404,"text/html; charset=utf-8",1
22,https://www.frauklinik.ru/photogallery/plast-hir/abramyan/oto/34-posle.png,404,"text/html; charset=utf-8",1
22,https://www.frauklinik.ru/photogallery/plast-hir/abramyan/oto/34-do.png,404,"text/html; charset=utf-8",1
22,https://www.frauklinik.ru/photogallery/social/blog/blokhin/allotransp2.png,404,"text/html; charset=utf-8",1
