Page rating (desc),URL,Organic traffic,HTTP status code,Content type,Depth,Internal outlinks to 4xx,Internal outlinks to 5xx,No. of internal outlinks to 4xx,No. of internal outlinks to 5xx,External outlinks to 4xx,External outlinks to 5xx,No. of external outlinks to 4xx,No. of external outlinks to 5xx
40,https://www.frauklinik.ru/ginekologia_estet/treatment_urinary_hyaluronic.php,0,200,text/html; charset=utf-8,2,https://www.frauklinik.ru/ginekologia_estet/nederzhanie_mochi.php,,1,0,,,0,0
37,https://www.frauklinik.ru/ginekologia/konizaciya_sheyki_matki.php,0.000319,200,text/html; charset=utf-8,2,https://www.frauklinik.ru/ginekologia/ginekologia/leykoplakiya_sheyki_matki.php,,1,0,,,0,0
